deck	split	colors	main_colors	player_wr_bucket
FDN_top_00001_WB	train	WB	WB	0.64
FDN_top_00002_BR	train	BR	BR	0.62
FDN_top_00003_BR	train	BR	BR	0.62
FDN_top_00004_RG	eval	RG	RG	0.62
FDN_top_00005_BGpU	train	BG+U	BG	0.6
FDN_top_00006_BGpU	train	BG+U	BG	0.6
FDN_top_00007_WR	train	WR	WR	0.6
FDN_top_00008_WGpB	train	WG+B	WG	0.6
FDN_top_00009_WG	train	WG	WG	0.7000000000000001
FDN_top_00010_WG	train	WG	WG	0.7000000000000001
FDN_top_00011_WB	train	WB	WB	0.6
FDN_top_00012_WB	train	WB	WB	0.6
FDN_top_00013_W	train	W	W	0.62
FDN_top_00014_WG	train	WG	WG	0.6
FDN_top_00015_WG	train	WG	WG	0.6
FDN_top_00016_BG	train	BG	BG	0.66
FDN_top_00017_URpW	train	UR+W	UR	0.66
FDN_top_00018_UR	train	UR	UR	0.66
FDN_top_00019_WUG	train	WUG	WUG	0.6
FDN_top_00020_WB	train	WB	WB	0.6
FDN_top_00021_UB	train	UB	UB	0.6
FDN_top_00022_UB	train	UB	UB	0.6
FDN_top_00023_WU	train	WU	WU	0.62
FDN_top_00024_WU	train	WU	WU	0.62
FDN_top_00025_WB	train	WB	WB	0.7000000000000001
FDN_top_00026_WBpR	train	WB+R	WB	0.62
FDN_top_00027_BR	train	BR	BR	0.64
FDN_top_00028_WG	train	WG	WG	0.7000000000000001
FDN_top_00029_UGpW	train	UG+W	UG	0.6
FDN_top_00030_UG	train	UG	UG	0.6
FDN_top_00031_WU	train	WU	WU	0.8
FDN_top_00032_WU	train	WU	WU	0.66
FDN_top_00033_UR	train	UR	UR	0.66
FDN_top_00034_UR	train	UR	UR	0.66
FDN_top_00035_UR	train	UR	UR	0.6
FDN_top_00036_UG	train	UG	UG	0.6
FDN_top_00037_UR	train	UR	UR	0.6
FDN_top_00038_UB	train	UB	UB	0.64
FDN_top_00039_WBR	train	WBR	WBR	0.6
FDN_top_00040_WBR	train	WBR	WBR	0.6
FDN_top_00041_WBR	train	WBR	WBR	0.6
FDN_top_00042_UR	train	UR	UR	0.6
FDN_top_00043_UB	train	UB	UB	0.6
FDN_top_00044_UB	train	UB	UB	0.6
FDN_top_00045_WBpR	train	WB+R	WB	0.68
FDN_top_00046_UR	train	UR	UR	0.6
FDN_top_00047_UR	train	UR	UR	0.6
FDN_top_00048_UB	train	UB	UB	0.68
FDN_top_00049_BR	train	BR	BR	0.6
FDN_top_00050_WU	eval	WU	WU	0.78
FDN_top_00051_WU	eval	WU	WU	0.78
FDN_top_00052_WU	train	WU	WU	0.62
FDN_top_00053_WU	train	WU	WU	0.62
FDN_top_00054_BRpU	train	BR+U	BR	0.7000000000000001
FDN_top_00055_WU	eval	WU	WU	0.6
FDN_top_00056_RG	train	RG	RG	0.68
FDN_top_00057_RG	train	RG	RG	0.68
FDN_top_00058_UR	train	UR	UR	0.6
FDN_top_00059_WU	eval	WU	WU	0.64
FDN_top_00060_BR	train	BR	BR	0.68
FDN_top_00061_UGpB	train	UG+B	UG	0.66
FDN_top_00062_WR	train	WR	WR	0.6
FDN_top_00063_WR	train	WR	WR	0.62
FDN_top_00064_WR	train	WR	WR	0.62
FDN_top_00065_UR	train	UR	UR	0.7000000000000001
FDN_top_00066_UR	train	UR	UR	0.7000000000000001
FDN_top_00067_RG	train	RG	RG	0.64
FDN_top_00068_BpR	train	B+R	B	0.62
FDN_top_00069_BR	eval	BR	BR	0.64
