# action vocabulary for FDN+SPG (Foundations), generated by VocabDump
# 740 card printings, 644 actions, 530 targets; indices >= those counts are the hashed tail
dim	1024
A	0	Pass
A	1	{T}: Add {B}.
A	2	{T}: Add {G}.
A	3	{T}: Add {R}.
A	4	{T}: Add {U}.
A	5	{T}: Add {W}.
A	6	{T}: Add {C}.
A	7	+1: Create a 2/2 black Zombie creature token.
A	8	+1: Create a token that's a copy of target creature you control, except it has haste and "At the beginning of the end step, sacrifice this token."
A	9	+1: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
A	10	+1: Put a +1/+1 counter on up to one target creature.
A	11	+1: Up to one target creature you control can't be blocked this turn. Draw a card, then discard a card.
A	12	+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one of them. You may play that card this turn.
A	13	-2: Create a 2/1 blue Ninja creature token.
A	14	-3: Destroy target artifact, enchantment, or creature with flying.
A	15	-3: Target creature gains flying and double strike until end of turn.
A	16	-4: Each player sacrifices two creatures of their choice.
A	17	-4: {this} deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.
A	18	-8: Create X 2/2 white Cat creature tokens, where X is your life total.
A	19	-8: You get an emblem with "Creatures you control get +2/+2 and have vigilance, trample, and indestructible."
A	20	-9: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest.
A	21	-9: You get an emblem with "Whenever a player casts a spell, you create a 2/1 blue Ninja creature token."
A	22	Cast Abrade
A	23	Cast Abyssal Harvester
A	24	Cast Adamant Will
A	25	Cast Adaptive Automaton
A	26	Cast Adventuring Gear
A	27	Cast Aegis Turtle
A	28	Cast Aetherize
A	29	Cast Affectionate Indrik
A	30	Cast Aggressive Mammoth
A	31	Cast Ajani's Pridemate
A	32	Cast Ajani, Caller of the Pride
A	33	Cast Akroma's Memorial
A	34	Cast Alesha, Who Laughs at Fate
A	35	Cast Ambush Wolf
A	36	Cast An Offer You Can't Refuse
A	37	Cast Ancestor Dragon
A	38	Cast Angel of Finality
A	39	Cast Angel of Vitality
A	40	Cast Angelic Destiny
A	41	Cast Angelic Edict
A	42	Cast Anthem of Champions
A	43	Cast Apothecary Stomper
A	44	Cast Arahbo, the First Fang
A	45	Cast Arbiter of Woe
A	46	Cast Arcane Epiphany
A	47	Cast Arcanis the Omnipotent
A	48	Cast Archmage of Runes
A	49	Cast Archway Angel
A	50	Cast Armasaur Guide
A	51	Cast Ashroot Animist
A	52	Cast Aurelia, the Warleader
A	53	Cast Authority of the Consuls
A	54	Cast Axgard Cavalry
A	55	Cast Ayli, Eternal Pilgrim
A	56	Cast Bake into a Pie
A	57	Cast Ball Lightning
A	58	Cast Ballyrush Banneret
A	59	Cast Balmor, Battlemage Captain
A	60	Cast Banishing Light
A	61	Cast Banner of Kinship
A	62	Cast Basilisk Collar
A	63	Cast Battle-Rattle Shaman
A	64	Cast Battlesong Berserker
A	65	Cast Bear Cub
A	66	Cast Beast-Kin Ranger
A	67	Cast Bigfin Bouncer
A	68	Cast Billowing Shriekmass
A	69	Cast Biogenic Upgrade
A	70	Cast Bishop's Soldier
A	71	Cast Bite Down
A	72	Cast Blanchwood Armor
A	73	Cast Blasphemous Edict
A	74	Cast Bloodthirsty Conqueror
A	75	Cast Bloodtithe Collector
A	76	Cast Bloom Tender
A	77	Cast Bolt Bend
A	78	Cast Boltwave
A	79	Cast Boros Charm
A	80	Cast Brass's Bounty
A	81	Cast Brazen Scourge
A	82	Cast Brineborn Cutthroat
A	83	Cast Broken Wings
A	84	Cast Bulk Up
A	85	Cast Burglar Rat
A	86	Cast Burnished Hart
A	87	Cast Burrog Befuddler
A	88	Cast Burst Lightning
A	89	Cast Bushwhack
A	90	Cast Cackling Prowler
A	91	Cast Campus Guide
A	92	Cast Cancel
A	93	Cast Carnelian Orb of Dragonkind
A	94	Cast Cat Collector
A	95	Cast Cathar Commando
A	96	Cast Celestial Armor
A	97	Cast Cemetery Recruitment
A	98	Cast Cephalid Inkmage
A	99	Cast Chandra, Flameshaper
A	100	Cast Charming Prince
A	101	Cast Chart a Course
A	102	Cast Circuitous Route
A	103	Cast Claws Out
A	104	Cast Clinquant Skymage
A	105	Cast Cloudblazer
A	106	Cast Condemn
A	107	Cast Confiscate
A	108	Cast Consuming Aberration
A	109	Cast Corsair Captain
A	110	Cast Courageous Goblin
A	111	Cast Crackling Cyclops
A	112	Cast Crash Through
A	113	Cast Crossway Troublemakers
A	114	Cast Crow of Dark Tidings
A	115	Cast Crusader of Odric
A	116	Cast Crypt Feaster
A	117	Cast Crystal Barricade
A	118	Cast Cultivator's Caravan
A	119	Cast Curator of Destinies
A	120	Cast Darksteel Colossus
A	121	Cast Dauntless Veteran
A	122	Cast Dawnwing Marshal
A	123	Cast Day of Judgment
A	124	Cast Dazzling Angel
A	125	Cast Deadly Brew
A	126	Cast Deadly Plot
A	127	Cast Deadly Riposte
A	128	Cast Death Baron
A	129	Cast Deathmark
A	130	Cast Demonic Pact
A	131	Cast Desecration Demon
A	132	Cast Devout Decree
A	133	Cast Diamond Mare
A	134	Cast Dictate of Kruphix
A	135	Cast Diregraf Ghoul
A	136	Cast Disenchant
A	137	Cast Dive Down
A	138	Cast Divine Resilience
A	139	Cast Doubling Season
A	140	Cast Dragon Fodder
A	141	Cast Dragon Mage
A	142	Cast Dragon Trainer
A	143	Cast Dragonlord's Servant
A	144	Cast Dragonmaster Outcast
A	145	Cast Drake Hatcher
A	146	Cast Drakuseth, Maw of Flames
A	147	Cast Dread Summons
A	148	Cast Dreadwing Scavenger
A	149	Cast Driver of the Dead
A	150	Cast Drogskol Reaver
A	151	Cast Dropkick Bomber
A	152	Cast Druid of the Cowl
A	153	Cast Dryad Militant
A	154	Cast Duress
A	155	Cast Dwynen's Elite
A	156	Cast Dwynen, Gilt-Leaf Daen
A	157	Cast Eager Trufflesnout
A	158	Cast Eaten Alive
A	159	Cast Eaten by Piranhas
A	160	Cast Electroduplicate
A	161	Cast Elementalist Adept
A	162	Cast Elenda, Saint of Dusk
A	163	Cast Elfsworn Giant
A	164	Cast Elspeth's Smite
A	165	Cast Elvish Archdruid
A	166	Cast Elvish Regrower
A	167	Cast Embercleave
A	168	Cast Empyrean Eagle
A	169	Cast Enigma Drake
A	170	Cast Erudite Wizard
A	171	Cast Essence Scatter
A	172	Cast Etali, Primal Storm
A	173	Cast Exclusion Mage
A	174	Cast Exemplar of Light
A	175	Cast Expedition Map
A	176	Cast Exsanguinate
A	177	Cast Extravagant Replication
A	178	Cast Faebloom Trick
A	179	Cast Fake Your Own Death
A	180	Cast Fanatical Firebrand
A	181	Cast Feed the Swarm
A	182	Cast Feldon's Cane
A	183	Cast Felidar Cub
A	184	Cast Felidar Retreat
A	185	Cast Felidar Savior
A	186	Cast Felling Blow
A	187	Cast Fiend Artisan
A	188	Cast Fiendish Panda
A	189	Cast Fierce Empath
A	190	Cast Fiery Annihilation
A	191	Cast Finale of Revelation
A	192	Cast Fire Elemental
A	193	Cast Firebrand Archer
A	194	Cast Fireshrieker
A	195	Cast Firespitter Whelp
A	196	Cast Fishing Pole
A	197	Cast Flamewake Phoenix
A	198	Cast Flashfreeze
A	199	Cast Fleeting Distraction
A	200	Cast Fleeting Flight
A	201	Cast Fog Bank
A	202	Cast Frenzied Goblin
A	203	Cast Fumigate
A	204	Cast Fynn, the Fangbearer
A	205	Cast Garna, Bloodfist of Keld
A	206	Cast Garruk's Uprising
